rxn_id,kind,pred_score,ensemble,n_int
CYTBO3_4pp,down,0.9111111111111111,0.9111111111111111,1
ACACT3r,ko,0.9106198684325947,0.9106198684325947,1
PE160abcpp,oe,0.91,0.91,1
ACACT6r,oe,0.9088888888888889,0.9088888888888889,1
ACACT6r,down,0.9077777777777778,0.9077777777777778,1
UHGADA,down,0.9061111111111111,0.9061111111111111,1
MECDPS,oe,0.9061111111111111,0.9061111111111111,1
ADSL1r,oe,0.9038888888888889,0.9038888888888889,1
FESR,oe,0.9038888888888889,0.9038888888888889,1
NTP1,oe,0.9037889217695076,0.9037889217695076,1
PPNDH,oe,0.9022222222222223,0.9022222222222223,1
THRS,down,0.9005555555555556,0.9005555555555556,1
G5SADs,oe,0.9005555555555556,0.9005555555555556,1
G3PD2,oe,0.8988888888888888,0.8988888888888888,1
NADH16pp,ko,0.8977777777777778,0.8977777777777778,1
MTHFD,down,0.8966666666666666,0.8966666666666666,1
ICDHyr,oe,0.8955555555555555,0.8955555555555555,1
ASNS2,down,0.8944444444444445,0.8944444444444445,1
MTHFR2,down,0.8933333333333333,0.8933333333333333,1
HACD4,down,0.8922222222222222,0.8922222222222222,1
DHQS,down,0.8911111111111111,0.8911111111111111,1
HISTP,oe,0.89,0.89,1
H2Otpp,down,0.8883333333333333,0.8883333333333333,1
DUTPDP,down,0.8883333333333333,0.8883333333333333,1
AGPAT161,oe,0.8866666666666667,0.8866666666666667,1
CO2tpp,down,0.8855555555555555,0.8855555555555555,1
PPM,ko,0.8838888888888888,0.8838888888888888,1
THDPS,oe,0.8838888888888888,0.8838888888888888,1
GLYCTO2,oe,0.8822222222222222,0.8822222222222222,1
DAPE,oe,0.8794444444444445,0.8794444444444445,1
CU2tpp,oe,0.8794444444444445,0.8794444444444445,1
GLUTRS,down,0.8794444444444445,0.8794444444444445,1
GLYCTO2,down,0.8794444444444445,0.8794444444444445,1
ATPPRT,down,0.8766666666666667,0.8766666666666667,1
TPI,oe,0.875,0.875,1
TMPK,down,0.875,0.875,1
ACKr,down,0.8722222222222222,0.8722222222222222,1
PAPSR,down,0.8722222222222222,0.8722222222222222,1
G1SAT,oe,0.8722222222222222,0.8722222222222222,1
ATPM,down,0.8694444444444445,0.8694444444444445,1
G5SD,down,0.8694444444444445,0.8694444444444445,1
GLCptspp,down,0.8672222222222222,0.8672222222222222,1
ECOAH6,oe,0.8672222222222222,0.8672222222222222,1
GLUTRS,oe,0.8644444444444445,0.8644444444444445,1
TDSK,down,0.8644444444444445,0.8644444444444445,1
FESD1s,oe,0.8644444444444445,0.8644444444444445,1
12DGR120tipp,ko,0.8622222222222222,0.8622222222222222,1
DHAD1,oe,0.8594444444444445,0.8594444444444445,1
ADSS,oe,0.8594444444444445,0.8594444444444445,1
FACOAE161,down,0.8594444444444445,0.8594444444444445,1
COBALT2tpp,down,0.8594444444444445,0.8594444444444445,1
HSK,oe,0.8566666666666667,0.8566666666666667,1
ECOAH5,ko,0.8516528368524533,0.8516528368524533,1
MDDEP3pp,ko,0.8492523288093222,0.8492523288093222,1
CTECOAI8,ko,0.8490754963848506,0.8490754963848506,1
MMM,ko,0.8452689620135827,0.8452689620135827,1
OMMBLHX,ko,0.8422790164100187,0.8422790164100187,1
O16AUNDtpp,ko,0.8408692946568226,0.8408692946568226,1
O16AP1pp,ko,0.8349756626082185,0.8349756626082185,1
ECAP1pp,ko,0.8349756626082185,0.8349756626082185,1
CTECOAI6,ko,0.8346692170940143,0.8346692170940143,1
ECAP2pp,ko,0.8332284375075522,0.8332284375075522,1
ECAP3pp,ko,0.8332284375075522,0.8332284375075522,1
O16AP2pp,ko,0.8332284375075522,0.8332284375075522,1
